age,gender,exercise_type,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
56,M,Deadlifts,6,15,146.1,4,90.5,2986,5.2,Advanced,1.84
46,M,Deadlifts,3,13,155.6,5,192.4,2794,9.4,Intermediate,4.61
32,F,Squats,6,8,177.1,1,179.1,2245,5.1,Intermediate,4.72
25,M,Squats,6,7,110.0,1,175.0,2057,9.7,Intermediate,3.21
38,M,Deadlifts,5,11,151.4,5,104.1,3611,7.4,Intermediate,5.27
56,M,Squats,4,12,131.5,3,176.6,2441,6.7,Intermediate,5.69
36,F,Deadlifts,5,15,53.6,2,182.0,3796,9.6,Intermediate,5.93
40,M,Deadlifts,3,6,24.6,3,114.7,2769,5.1,Beginner,7.33
28,F,Bench Press,4,11,71.2,1,194.3,2439,7.9,Intermediate,2.1
28,F,Squats,1,9,99.7,5,86.0,3110,7.7,Advanced,2.45
41,M,Bench Press,1,15,131.1,5,98.0,3704,6.1,Beginner,5.72
53,M,Squats,3,9,173.0,3,144.5,3225,7.1,Beginner,10.11
57,M,Deadlifts,5,7,55.3,3,149.1,2484,8.3,Intermediate,4.34
41,M,Bench Press,2,9,42.6,2,157.4,3087,8.6,Intermediate,5.57
20,F,Deadlifts,3,6,193.4,4,82.0,2836,5.0,Intermediate,3.76
39,F,Squats,4,8,39.4,4,195.2,3374,9.7,Beginner,6.58
19,M,Deadlifts,4,10,106.1,2,85.4,2161,5.8,Intermediate,3.23
41,M,Bench Press,6,5,125.4,4,97.2,1532,6.2,Beginner,4.23
47,M,Squats,1,14,117.4,1,81.7,3316,6.3,Intermediate,2.34
55,F,Squats,4,8,35.5,4,148.0,3620,5.2,Intermediate,3.09
19,M,Deadlifts,3,10,30.3,2,191.9,3389,5.6,Beginner,7.67
38,M,Bench Press,4,13,39.0,4,159.9,2656,9.9,Intermediate,3.54
50,F,Deadlifts,3,15,125.4,5,178.7,1560,6.6,Advanced,3.0
29,F,Squats,2,15,118.0,3,81.6,3043,5.6,Intermediate,4.32
39,M,Squats,6,6,62.1,1,145.0,1771,5.5,Advanced,3.49
42,F,Bench Press,1,15,134.8,5,135.1,3793,8.6,Intermediate,1.29
44,F,Squats,4,11,167.6,5,139.9,2699,9.3,Intermediate,3.01
59,M,Bench Press,3,10,27.5,2,88.7,3306,6.3,Beginner,4.76
45,M,Deadlifts,5,6,109.7,3,162.1,2654,5.1,Beginner,5.38
33,M,Deadlifts,1,12,144.1,3,140.4,2625,6.1,Beginner,2.2
32,M,Deadlifts,2,11,65.4,1,171.8,1809,5.3,Intermediate,3.86
20,F,Deadlifts,3,15,75.4,2,138.2,2815,5.5,Advanced,1.43
54,F,Squats,6,9,130.5,1,97.9,3245,7.2,Intermediate,3.19
24,M,Bench Press,6,9,181.6,4,157.8,1837,6.1,Intermediate,4.17
38,M,Bench Press,2,11,165.8,5,100.7,1509,7.6,Intermediate,2.65
26,M,Deadlifts,2,13,125.0,1,184.7,1548,6.3,Intermediate,5.37
56,M,Squats,6,15,151.4,5,153.6,3010,9.7,Intermediate,2.48
35,F,Bench Press,4,13,85.7,2,98.9,2844,9.5,Intermediate,1.48
21,M,Squats,4,13,135.4,4,195.5,2230,7.8,Intermediate,2.7
42,M,Bench Press,3,10,103.9,2,142.2,2294,6.8,Beginner,1.71
31,M,Deadlifts,5,14,54.2,4,88.7,3148,6.9,Advanced,2.18
26,F,Deadlifts,3,10,146.3,4,155.2,1632,7.1,Beginner,4.88
43,M,Squats,5,7,120.2,5,110.4,3630,8.6,Beginner,7.21
19,F,Deadlifts,2,5,84.6,2,176.4,3604,7.3,Advanced,1.31
37,M,Bench Press,1,11,184.0,2,178.1,1875,9.3,Intermediate,4.46
45,F,Squats,3,8,23.8,1,197.5,3896,9.7,Intermediate,2.54
24,F,Squats,3,5,76.8,2,140.2,1770,6.7,Intermediate,2.2
25,M,Squats,5,12,30.2,1,134.6,3006,7.8,Intermediate,6.24
52,M,Squats,2,10,158.0,3,170.4,3658,5.5,Beginner,7.37
31,F,Deadlifts,2,10,146.4,3,95.9,1575,6.0,Intermediate,3.47
34,F,Bench Press,5,6,79.6,3,145.6,3456,7.1,Intermediate,4.07
53,M,Deadlifts,2,5,141.6,2,145.5,3166,6.0,Intermediate,1.81
57,M,Squats,6,6,91.3,2,90.7,1828,9.4,Intermediate,3.36
21,F,Squats,4,8,156.1,1,130.2,3669,5.8,Advanced,4.23
19,M,Bench Press,6,6,101.8,4,182.4,1540,7.3,Beginner,1.99
23,M,Squats,1,5,94.2,1,182.7,2690,8.0,Intermediate,2.14
59,F,Bench Press,3,11,188.3,3,91.9,3826,8.5,Intermediate,3.57
21,M,Deadlifts,1,15,65.2,1,90.9,3556,6.9,Advanced,1.33
46,M,Bench Press,3,15,41.7,4,111.5,1512,9.3,Beginner,2.7
35,M,Bench Press,4,12,125.2,2,185.0,2423,7.8,Intermediate,2.42
43,M,Squats,2,10,194.5,1,95.5,3342,7.2,Advanced,4.17
51,M,Squats,6,8,88.0,3,166.4,2732,5.3,Beginner,5.96
