exercise_name,target_muscle_group,type,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2,genetic_advantage
Barbell Bench Press,Chest,Compound,32,M,4,10,80,3,150,2800,7.5,Intermediate,2.5,3
Barbell Bench Press,Chest,Compound,28,F,3,12,45,2,130,2600,7.2,Beginner,1.6,2
Barbell Bench Press,Chest,Compound,39,M,5,8,90,4,170,3100,8.0,Advanced,3.2,4
Barbell Bench Press,Chest,Compound,35,F,4,10,50,3,135,2700,7.4,Intermediate,1.85,3
Barbell Bench Press,Chest,Compound,26,M,3,12,85,2,145,2750,7.6,Intermediate,2.7,4
Barbell Bench Press,Chest,Compound,42,F,5,8,48,2,125,2550,6.9,Beginner,1.5,2
Barbell Bench Press,Chest,Compound,30,M,4,10,88,3,160,2900,7.8,Advanced,3.0,5
Barbell Bench Press,Chest,Compound,33,F,3,12,52,3,140,2750,7.5,Intermediate,1.7,3
Barbell Bench Press,Chest,Compound,37,M,5,10,82,4,155,2850,8.1,Intermediate,2.4,4
Barbell Bench Press,Chest,Compound,29,F,4,8,45,2,130,2600,7.1,Beginner,1.55,2
Barbell Bench Press,Chest,Compound,45,M,3,12,90,3,165,3050,8.2,Advanced,3.1,5
Incline Barbell Bench Press,Chest,Compound,34,M,4,10,70,3,145,2750,7.6,Intermediate,2.2,3
Incline Barbell Bench Press,Chest,Compound,27,F,3,12,40,2,125,2550,6.9,Beginner,1.45,2
Incline Barbell Bench Press,Chest,Compound,40,M,5,8,80,4,160,2900,8.0,Advanced,2.9,4
Incline Barbell Bench Press,Chest,Compound,31,F,4,10,45,3,130,2600,7.2,Intermediate,1.65,3
Incline Barbell Bench Press,Chest,Compound,36,M,3,12,75,2,150,2800,7.8,Intermediate,2.5,4
Incline Barbell Bench Press,Chest,Compound,29,F,5,8,42,2,120,2500,6.7,Beginner,1.4,2
Incline Barbell Bench Press,Chest,Compound,43,M,4,10,78,3,165,3050,8.1,Advanced,3.0,5
Incline Barbell Bench Press,Chest,Compound,25,F,3,12,40,3,135,2700,7.5,Intermediate,1.7,3
Incline Barbell Bench Press,Chest,Compound,38,M,5,10,72,4,155,2850,7.9,Intermediate,2.6,4
Incline Barbell Bench Press,Chest,Compound,32,F,4,8,45,2,130,2600,7.0,Beginner,1.5,2
Decline Barbell Bench Press,Chest,Compound,30,M,4,10,75,3,150,2800,7.6,Intermediate,2.3,3
Decline Barbell Bench Press,Chest,Compound,26,F,3,12,40,2,125,2550,6.9,Beginner,1.55,2
Decline Barbell Bench Press,Chest,Compound,37,M,5,8,85,4,160,2900,8.0,Advanced,2.8,4
Decline Barbell Bench Press,Chest,Compound,33,F,4,10,45,3,130,2600,7.2,Intermediate,1.7,3
Decline Barbell Bench Press,Chest,Compound,28,M,3,12,80,2,145,2750,7.8,Intermediate,2.4,4
Decline Barbell Bench Press,Chest,Compound,41,F,5,8,42,2,120,2500,6.7,Beginner,1.45,2
Decline Barbell Bench Press,Chest,Compound,35,M,4,10,78,3,155,2850,7.9,Advanced,2.9,5
Decline Barbell Bench Press,Chest,Compound,29,F,3,12,40,3,135,2700,7.5,Intermediate,1.6,3
Decline Barbell Bench Press,Chest,Compound,44,M,5,10,85,4,170,3100,8.1,Intermediate,2.7,4
Dumbbell Bench Press,Chest,Compound,31,M,4,10,30,3,140,2750,7.6,Intermediate,2.1,3
Dumbbell Bench Press,Chest,Compound,27,F,3,12,20,2,125,2550,6.9,Beginner,1.4,2
Dumbbell Bench Press,Chest,Compound,38,M,5,8,35,4,155,2850,8.0,Advanced,2.6,4
Dumbbell Bench Press,Chest,Compound,34,F,4,10,25,3,130,2600,7.2,Intermediate,1.65,3
Dumbbell Bench Press,Chest,Compound,26,M,3,12,32,2,145,2750,7.8,Intermediate,2.3,4
Dumbbell Bench Press,Chest,Compound,42,F,5,8,22,2,120,2500,6.7,Beginner,1.5,2
Dumbbell Bench Press,Chest,Compound,30,M,4,10,34,3,160,2900,8.1,Advanced,2.8,5
Dumbbell Bench Press,Chest,Compound,36,F,3,12,24,3,135,2700,7.5,Intermediate,1.7,3
Dumbbell Bench Press,Chest,Compound,45,M,5,10,30,4,150,2800,7.9,Intermediate,2.5,4
Dumbbell Bench Press,Chest,Compound,29,F,4,8,21,2,130,2600,7.0,Beginner,1.45,2
Incline Dumbbell Press,Chest,Compound,33,M,4,10,28,3,145,2750,7.6,Intermediate,2.0,3
Incline Dumbbell Press,Chest,Compound,28,F,3,12,20,2,125,2550,6.9,Beginner,1.35,2
Incline Dumbbell Press,Chest,Compound,40,M,5,8,32,4,160,2900,8.0,Advanced,2.7,4
Incline Dumbbell Press,Chest,Compound,31,F,4,10,22,3,130,2600,7.2,Intermediate,1.6,3
Incline Dumbbell Press,Chest,Compound,36,M,3,12,30,2,150,2800,7.8,Intermediate,2.2,4
Incline Dumbbell Press,Chest,Compound,27,F,5,8,21,2,120,2500,6.7,Beginner,1.4,2
Incline Dumbbell Press,Chest,Compound,43,M,4,10,34,3,165,3050,8.1,Advanced,2.9,5
Incline Dumbbell Press,Chest,Compound,29,F,3,12,23,3,135,2700,7.5,Intermediate,1.65,3
Incline Dumbbell Press,Chest,Compound,38,M,5,10,28,4,155,2850,7.9,Intermediate,2.5,4
Incline Dumbbell Press,Chest,Compound,32,F,4,8,20,2,130,2600,7.0,Beginner,1.5,2
Decline Dumbbell Press,Chest,Compound,35,M,4,10,25,3,140,2750,7.6,Intermediate,1.9,3
