exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Partner plank band row,Strength,Abdominals,Intermediate,,,,,,,,,,,
Banded crunch isometric hold,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR Banded Plank Jack,Strength,Abdominals,Intermediate,,,,,,,,,,,
Banded crunch,Strength,Abdominals,Intermediate,,,,,,,,,,,
Crunch,Strength,Abdominals,Intermediate,,,,,,,,,,,
Decline band press sit-up,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Banded Frog Pump,Strength,Abdominals,Intermediate,,,,,,,,,,,
Band low-to-high twist,Strength,Abdominals,Intermediate,,,,,,,,,,,
Barbell roll-out,Strength,Abdominals,Intermediate,,,,,,,,,,,
Barbell Ab Rollout - On Knees,Strength,Abdominals,Intermediate,,,,,,,,,,,
Decline bar press sit-up,Strength,Abdominals,Intermediate,,,,,,,,,,,
Bench barbell roll-out,Strength,Abdominals,Beginner,,,,,,,,,,,
Barbell Side Bend,Strength,Abdominals,Beginner,,,,,,,,,,,
Seated bar twist,Strength,Abdominals,Intermediate,,,,,,,,,,,
Single-arm landmine pull and press,Strength,Abdominals,Intermediate,,,,,,,,,,,
Barbell Ab Roll Out - Gethin Variation,Strength,Abdominals,Intermediate,,,,,,,,,,,
30 Barbell Floor Wiper,Strength,Abdominals,Intermediate,,,,,,,,,,,
30 Barbell Roll-Out,Strength,Abdominals,Intermediate,,,,,,,,,,,
Decline plate sit-up,Strength,Abdominals,Intermediate,,,,,,,,,,,
KV Barbell Hip Thrust,Strength,Abdominals,Intermediate,,,,,,,,,,,
Advanced Kettlebell Windmill,Strength,Abdominals,Beginner,,,,,,,,,,,
Kettlebell Windmill,Strength,Abdominals,Intermediate,,,,,,,,,,,
Kettlebell Pass Between The Legs,Strength,Abdominals,Beginner,,,,,,,,,,,
Kettlebell 3-point leg extension,Strength,Abdominals,Intermediate,,,,,,,,,,,
Double Kettlebell Swing,Strength,Abdominals,Intermediate,,,,,,,,,,,
Burpee over kettlebell,Strength,Abdominals,Intermediate,,,,,,,,,,,
Kettlebell toe-touch,Strength,Abdominals,Intermediate,,,,,,,,,,,
Kettlebell swing,Strength,Abdominals,Intermediate,,,,,,,,,,,
Two-way swing,Strength,Abdominals,Intermediate,,,,,,,,,,,
Kettlebell crab reach,Strength,Abdominals,Intermediate,,,,,,,,,,,
Taylor Single-Arm Kettlebell Swing,Strength,Abdominals,Intermediate,,,,,,,,,,,
Holman Kettlebell Up to Elbow Down,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Double-Kettlebell Ski,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Kettlebell Hike,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Kettlebell Cross-Body Catch,Strength,Abdominals,Intermediate,,,,,,,,,,,
