exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
MetaBurn Swivel Crunch,Strength,Abdominals,Intermediate,,,,,,,,,,,
Robertson Core-Engaged Dead Bug,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Double-Under,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Fire Feet with Burpee Tuck Jump Drill,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Flutter Kick,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Half-Moon,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Leopard Crawl,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Plank Alternating Front Step,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Shoulder Tap,Strength,Abdominals,Intermediate,,,,,,,,,,,
Hand shift plank,Strength,Abdominals,Intermediate,,,,,,,,,,,
Cross-body plank march,Strength,Abdominals,Intermediate,,,,,,,,,,,
Bent-knee Copenhagen hip adduction,Strength,Abdominals,Intermediate,,,,,,,,,,,
Copenhagen plank,Strength,Abdominals,Intermediate,,,,,,,,,,,
ACFT Hanging leg tuck,Strength,Abdominals,Intermediate,,,,,,,,,,,
Alternating hanging knee raise,Strength,Abdominals,Intermediate,,,,,,,,,,,
Plank To Sphinx,Strength,Abdominals,Intermediate,,,,,,,,,,,
Twisting Mountain Climbers,Strength,Abdominals,Intermediate,,,,,,,,,,,
Jack Knives,Strength,Abdominals,Intermediate,,,,,,,,,,,
Hanging Leg Raises,Strength,Abdominals,Intermediate,,,,,,,,,,,
Dumbbell suitcase crunch,Strength,Abdominals,Intermediate,,,,,,,,,,,
Medicine ball rotational throw,Strength,Abdominals,Intermediate,,,,,,,,,,,
Hollow-hold ball toss,Strength,Abdominals,Intermediate,,,,,,,,,,,
Partner front Russian twist and pass,Strength,Abdominals,Beginner,,,,,,,,,,,
Sit-up with single-arm overhand throw,Plyometrics,Abdominals,Intermediate,,,,,,,,,,,
Medicine ball partner twist,Plyometrics,Abdominals,Intermediate,,,,,,,,,,,
Partner side Russian twist and pass,Strength,Abdominals,Beginner,,,,,,,,,,,
Medicine ball half moon,Strength,Abdominals,Intermediate,,,,,,,,,,,
Exercise ball roll-out,Strength,Abdominals,Intermediate,,,,,,,,,,,
Medicine ball pass,Strength,Abdominals,Intermediate,,,,,,,,,,,
Partner medicine ball sit-up,Strength,Abdominals,Intermediate,,,,,,,,,,,
Medicine ball Russian twist,Strength,Abdominals,Intermediate,,,,,,,,,,,
30 Medicine Ball Slam,Strength,Abdominals,Intermediate,,,,,,,,,,,
Medicine ball twist,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Medicine Ball Complex,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Medicine Ball Fire-Feet Drill,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Medicine Ball Knees-to-Chest,Strength,Abdominals,Intermediate,,,,,,,,,,,
FYR2 Medicine Ball Mountain Climber,Strength,Abdominals,Intermediate,,,,,,,,,,,
