age,gender,exercise_type,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2,target_muscle_group,exercise_category
56,M,Deadlifts,6,15,146.1,4,90.5,2986,5.2,Advanced,1.84,Back,Compound
46,M,Deadlifts,3,13,155.6,5,192.4,2794,9.4,Intermediate,4.61,Back,Compound
32,F,Squats,6,8,177.1,1,179.1,2245,5.1,Intermediate,4.72,Quads,Compound
25,M,Squats,6,7,110,1,175,2057,9.7,Intermediate,3.21,Quads,Compound
38,M,Deadlifts,5,11,151.4,5,104.1,3611,7.4,Intermediate,5.27,Back,Compound
56,M,Squats,4,12,131.5,3,176.6,2441,6.7,Intermediate,5.69,Quads,Compound
36,F,Deadlifts,5,15,53.6,2,182,3796,9.6,Intermediate,5.93,Back,Compound
40,M,Deadlifts,3,6,24.6,3,114.7,2769,5.1,Beginner,7.33,Back,Compound
28,F,Bench Press,4,11,71.2,1,194.3,2439,7.9,Intermediate,2.1,Chest,Compound
28,F,Squats,1,9,99.7,5,86,3110,7.7,Advanced,2.45,Quads,Compound
41,M,Bench Press,1,15,131.1,5,98,3704,6.1,Beginner,5.72,Chest,Compound
53,M,Squats,3,9,173,3,144.5,3225,7.1,Beginner,10.11,Quads,Compound
57,M,Deadlifts,5,7,55.3,3,149.1,2484,8.3,Intermediate,4.34,Back,Compound
41,M,Bench Press,2,9,42.6,2,157.4,3087,8.6,Intermediate,5.57,Chest,Compound
20,F,Deadlifts,3,6,193.4,4,82,2836,5,Intermediate,3.76,Back,Compound
