age,gender,exercise_name,sets,reps,weight,frequency,protein,calories,sleep,experience,target_muscle_group,type,body_fat_percentage,cardio_minutes_per_week,maintenance_calories,muscle_size_cm2,definition_score
46,M,Overhead Press,5,11,92,4,149,1958,6.5,Advanced,Shoulders,Compound,17.8,80,2543,41.9,4.8
39,M,Hammer Curls,4,13,58,5,183,1739,6.1,Beginner,Arms,Isolation,17.2,110,2443,26.5,4.2
26,M,Incline Barbell Bench Press,5,9,110,3,166,2741,8.7,Advanced,Chest,Compound,22.5,223,2975,53.0,3.5
21,M,Face Pulls,4,13,50,4,167,2592,6.3,Intermediate,Back,Isolation,14.4,274,3062,33.7,4.9
38,M,Close-Grip Bench Press,3,10,54,3,190,1544,8.3,Intermediate,Arms,Compound,16.6,295,2264,40.7,4.6
28,M,Barbell Rows,5,6,111,4,167,1530,6.9,Advanced,Back,Compound,19.9,275,2232,47.7,4.6
39,F,Pec Deck,3,13,53,5,114,1978,6.3,Intermediate,Chest,Isolation,28.0,183,2192,16.8,1.8
49,M,Squats,3,8,67,4,164,2108,7.9,Intermediate,Legs,Compound,23.8,193,2881,32.7,3.0
37,F,Dumbbell Bench Press,4,6,116,3,138,1403,7.6,Intermediate,Chest,Compound,30.5,121,2058,27.1,1.7
41,F,Incline Barbell Bench Press,4,7,42,3,148,1679,7.5,Intermediate,Chest,Compound,27.8,113,1880,22.8,1.9
49,F,Diamond Push-ups,3,11,63,3,121,1287,6.3,Intermediate,Arms,Compound,24.9,156,1997,17.2,2.3
23,M,Lat Pulldowns,5,9,72,5,120,1865,6.6,Advanced,Back,Compound,14.9,218,2537,33.8,5.0
52,M,Incline Barbell Bench Press,3,10,71,5,138,1801,8.7,Beginner,Chest,Compound,18.7,211,2208,35.6,4.0
50,M,Chin-ups,3,8,64,3,185,2751,8.0,Beginner,Arms,Compound,23.7,228,3113,19.2,2.4
21,M,Overhead Press,5,8,61,4,157,2440,7.2,Intermediate,Shoulders,Compound,20.4,241,2869,38.7,4.0
44,F,Lunges,5,9,74,3,116,1940,8.8,Intermediate,Legs,Compound,24.9,280,2311,23.7,2.5
23,M,Lunges,3,9,102,3,151,2820,7.0,Beginner,Legs,Compound,17.6,187,3180,34.6,4.1
48,F,T-Bar Rows,4,7,56,3,142,1747,7.1,Advanced,Back,Compound,20.9,280,2192,19.3,3.4
43,F,Barbell Bench Press,4,11,115,5,114,1979,7.7,Advanced,Chest,Compound,25.2,91,2270,34.4,3.0
39,M,Pull-ups,4,11,54,4,127,2391,6.8,Beginner,Back,Compound,22.9,167,2643,35.6,3.1
21,F,Chin-ups,4,11,58,3,118,1662,6.2,Beginner,Arms,Compound,27.8,288,1919,16.9,1.7
40,M,T-Bar Rows,3,10,40,3,183,2552,7.3,Intermediate,Back,Compound,23.9,152,3198,21.5,2.7
29,M,Close-Grip Bench Press,4,11,101,3,135,1986,8.3,Beginner,Arms,Compound,16.4,144,2403,18.4,4.1
50,M,Diamond Push-ups,4,7,58,4,120,2283,8.1,Intermediate,Arms,Compound,24.3,75,2807,21.2,2.4
19,M,Barbell Rows,3,10,90,5,131,2036,8.9,Intermediate,Back,Compound,19.5,133,2812,43.5,4.1
46,M,Arnold Press,3,7,113,4,126,2222,8.1,Beginner,Shoulders,Compound,13.2,173,2617,16.4,4.5
46,M,Calf Raises,3,10,50,4,143,2809,7.7,Intermediate,Legs,Isolation,19.1,71,3198,44.2,4.3
30,F,Tricep Extensions,3,10,33,3,140,1920,7.1,Intermediate,Arms,Isolation,25.5,87,2195,20.7,2.7
36,M,Close-Grip Bench Press,5,6,78,3,161,2507,6.2,Beginner,Arms,Compound,19.8,282,2892,17.8,3.3
52,F,Cable Rows,3,13,21,4,141,1375,8.5,Intermediate,Back,Isolation,20.0,181,1967,16.8,3.2
46,M,Diamond Push-ups,3,10,43,4,150,1807,7.1,Advanced,Arms,Compound,16.8,226,2451,35.2,4.7
43,M,Cable Rows,3,8,53,3,196,2039,8.9,Intermediate,Back,Isolation,17.3,250,2586,26.3,4.3
42,F,Squats,4,10,114,3,118,1295,6.2,Intermediate,Legs,Compound,18.2,106,2026,29.4,4.3
31,M,Cable Crossovers,4,13,26,3,155,1918,7.2,Advanced,Chest,Isolation,17.0,119,2207,44.9,5.0
45,M,Barbell Bench Press,3,10,85,5,125,1659,7.2,Intermediate,Chest,Compound,12.4,256,2452,31.3,5.0
19,M,Cable Crossovers,4,14,25,3,182,2065,8.9,Advanced,Chest,Isolation,14.1,86,2481,40.5,5.0
50,M,Hammer Curls,3,13,17,3,172,1565,7.1,Intermediate,Arms,Isolation,12.7,144,2222,26.8,4.9
18,F,Pull-ups,5,7,73,4,102,1412,8.6,Intermediate,Back,Compound,27.4,113,1917,18.4,2.4
47,F,Deadlifts,5,8,77,4,133,1571,7.3,Intermediate,Legs,Compound,18.4,250,2105,17.0,4.1
50,F,Leg Extensions,4,8,24,3,119,2039,8.9,Intermediate,Legs,Isolation,30.1,112,2307,24.3,1.8
28,M,Close-Grip Bench Press,5,8,66,3,169,2611,6.6,Beginner,Arms,Compound,14.0,206,2871,18.6,4.6
35,M,Incline Barbell Bench Press,4,6,117,4,146,2740,6.3,Beginner,Chest,Compound,13.6,106,3012,17.8,4.5
47,M,Dumbbell Bench Press,5,11,53,4,197,1812,8.2,Intermediate,Chest,Compound,23.3,213,2227,20.1,2.6
24,M,Lat Pulldowns,5,6,67,4,176,1766,6.6,Advanced,Back,Compound,12.4,277,2238,46.5,5.0
42,F,Lunges,5,11,73,5,143,1374,7.1,Intermediate,Legs,Compound,29.0,160,2168,25.2,1.9
43,M,Incline Barbell Bench Press,3,11,109,5,123,2274,6.6,Intermediate,Chest,Compound,16.3,121,2823,32.5,4.8
41,F,Tricep Extensions,4,11,42,5,114,1486,6.8,Beginner,Arms,Isolation,23.7,289,1803,18.3,2.6
