exercise_type,exercise_category,target_muscle_group,Difficulty,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
Machine Pull-Over - Gethin Variation,Strength,Lats,Intermediate,,,,,,,,,,,
Seated Machine Row - Gethin Variation,Strength,Lats,Intermediate,,,,,,,,,,,
Wide-Grip Machine Row,Strength,Lats,Intermediate,,,,,,,,,,,
King Maker Lat Pull-Down,Strength,Lats,Intermediate,,,,,,,,,,,
Robertson Half-Kneeling Landmine Press,Strength,Lats,Intermediate,,,,,,,,,,,
Pullups,Strength,Lats,Intermediate,,,,,,,,,,,
Pull-up,Strength,Lats,Beginner,,,,,,,,,,,
Muscle Up,Strength,Lats,Intermediate,,,,,,,,,,,
Rope climb,Strength,Lats,Intermediate,,,,,,,,,,,
Wide-Grip Rear Pull-Up,Strength,Lats,Beginner,,,,,,,,,,,
Side To Side Chins,Strength,Lats,Intermediate,,,,,,,,,,,
Neutral-grip pull-up,Strength,Lats,Intermediate,,,,,,,,,,,
Kipping Muscle Up,Strength,Lats,Intermediate,,,,,,,,,,,
One Arm Against Wall,Stretching,Lats,Intermediate,,,,,,,,,,,
One Handed Hang,Stretching,Lats,Intermediate,,,,,,,,,,,
Standing side bend stretch,Stretching,Lats,Intermediate,,,,,,,,,,,
Burpee to pull-up,Plyometrics,Lats,Intermediate,,,,,,,,,,,
Negative pull-up,Strength,Lats,Intermediate,,,,,,,,,,,
Chin-Up,Strength,Lats,Intermediate,,,,,,,,,,,
HM Superman Lat Pull,Strength,Lats,Intermediate,,,,,,,,,,,
AM Pull-Up,Strength,Lats,Intermediate,,,,,,,,,,,
UP Chin-Up,Strength,Lats,Intermediate,,,,,,,,,,,
Holman Alternating Forward and Side Punch,Strength,Lats,Intermediate,,,,,,,,,,,
Jump to pull-up,Strength,Lats,Intermediate,,,,,,,,,,,
Bent-over scapular slide,Strength,Lats,Intermediate,,,,,,,,,,,
Iron cross stretch,Strength,Lats,Intermediate,,,,,,,,,,,
Total Fitness Standing Lat Stretch,Strength,Lats,Intermediate,,,,,,,,,,,
King Maker Pull-Up,Strength,Lats,Intermediate,,,,,,,,,,,
Medicine ball slam,Plyometrics,Lats,Intermediate,,,,,,,,,,,
Catch and Overhead Throw,Plyometrics,Lats,Beginner,,,,,,,,,,,
FYR2 Bent-Over Medicine Ball Slam,Strength,Lats,Intermediate,,,,,,,,,,,
Dynamic Back Stretch,Stretching,Lats,Beginner,,,,,,,,,,,
Chair Lower Back Stretch,Stretching,Lats,Beginner,,,,,,,,,,,
Side-Lying Floor Stretch,Stretching,Lats,Beginner,,,,,,,,,,,
Band good morning-,Strength,Lower Back,Intermediate,,,,,,,,,,,
FYR2 Monster Banded Good Morning,Strength,Lower Back,Intermediate,,,,,,,,,,,
Band deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Lower back SMR,Stretching,Lower Back,Intermediate,,,,,,,,,,,
Barbell deficit deadlift,Powerlifting,Lower Back,Beginner,,,,,,,,,,,
Deadlift with Bands,Powerlifting,Lower Back,Beginner,,,,,,,,,,,
Deadlift with Chains,Powerlifting,Lower Back,Beginner,,,,,,,,,,,
Rack Pull with Bands,Powerlifting,Lower Back,Beginner,,,,,,,,,,,
Rack pull,Powerlifting,Lower Back,Intermediate,,,,,,,,,,,
Seated Good Mornings,Powerlifting,Lower Back,Beginner,,,,,,,,,,,
Stiff Leg Barbell Good Morning,Strength,Lower Back,Beginner,,,,,,,,,,,
Reverse Band Deadlift,Powerlifting,Lower Back,Beginner,,,,,,,,,,,
Paul Carter Romanian Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
TBS Good Morning,Strength,Lower Back,Intermediate,,,,,,,,,,,
TBS Romanian Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Barbell deadlift-,Strength,Lower Back,Intermediate,,,,,,,,,,,
Deadlift - Gethin Variation,Strength,Lower Back,Intermediate,,,,,,,,,,,
Barbell good morning,Strength,Lower Back,Intermediate,,,,,,,,,,,
UP Conventional Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
30 Day Back Barbell Rack Pull,Strength,Lower Back,Intermediate,,,,,,,,,,,
FYR Sumo Deadlift High Pull,Strength,Lower Back,Intermediate,,,,,,,,,,,
Kettlebell deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
HM Kettlebell Swing,Strength,Lower Back,Intermediate,,,,,,,,,,,
KV Romanian Deadlift with Kettlebell,Strength,Lower Back,Intermediate,,,,,,,,,,,
FYR2 Kettlebell Good Morning,Strength,Lower Back,Intermediate,,,,,,,,,,,
FYR2 Kettlebell Romanian Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
FYR2 Kettlebell Staggered-Stance Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Dumbbell Fix Dumbbell Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Dumbbell skier,Strength,Lower Back,Intermediate,,,,,,,,,,,
TBS Dumbbell Romanian Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Stiff-Legged Dumbbell Deadlift - Gethin Variation,Strength,Lower Back,Intermediate,,,,,,,,,,,
UNS Dumbbell Romanian Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Holman Slow Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Holman Deadlift to Overhead Press,Strength,Lower Back,Intermediate,,,,,,,,,,,
Holman Staggered-Stance Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Holman Deadlift to Front Raise,Strength,Lower Back,Intermediate,,,,,,,,,,,
Holman Deadlift to Chest Press,Strength,Lower Back,Intermediate,,,,,,,,,,,
Holman Deadlift to Squat Thrust,Strength,Lower Back,Intermediate,,,,,,,,,,,
Holman Deadlift to Biceps Curl,Strength,Lower Back,Intermediate,,,,,,,,,,,
Dumbbell kickstand deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Single-leg stiff-legged deadlift to row,Strength,Lower Back,Intermediate,,,,,,,,,,,
FYR2 Dumbbell Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
FYR2 Dumbbell Deadlift to Dumbbell Upright Row,Strength,Lower Back,Intermediate,,,,,,,,,,,
Atlas Stones,Strongman,Lower Back,Intermediate,,,,,,,,,,,
Axle Deadlift,Strongman,Lower Back,Beginner,,,,,,,,,,,
Atlas Stone Trainer,Strongman,Lower Back,Beginner,,,,,,,,,,,
Partner Flat-Bench Back Extension,Strength,Lower Back,Beginner,,,,,,,,,,,
Keg Load,Strongman,Lower Back,Beginner,,,,,,,,,,,
Partner bench back extension,Strength,Lower Back,Beginner,,,,,,,,,,,
Rack Pull - Gethin Variation,Strength,Lower Back,Intermediate,,,,,,,,,,,
Hex Bar Deadlift - Gethin Variation,Strength,Lower Back,Intermediate,,,,,,,,,,,
Holman Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
ACFT Low-handle trap bar deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Neutral-grip lat pull-down,Strength,Lower Back,Intermediate,,,,,,,,,,,
Seated cable deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Cable stiff-legged deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
Single-leg cable stiff-legged deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
UNS Banded Dumbbell Romanian Deadlift,Strength,Lower Back,Intermediate,,,,,,,,,,,
